timestamp,day,hour,minute,temperature,humidity,nh3,co2,activity,ear_tag_temp,feeding_amount,anomaly_label
Day01-01:19,1,1,19,19.9,71.8,3.7,191.0,0,38.3,0,正常
Day01-01:20,1,1,20,20.2,71.5,7.9,247.0,11.9,38.6,0,正常
Day01-01:21,1,1,21,20.2,70.1,3.0,256.0,13.5,38.7,0,正常
Day01-01:22,1,1,22,20.3,69.8,2.8,229.0,11.9,37.8,0,正常
Day01-01:23,1,1,23,20.1,70.4,6.0,142.0,14.1,38.3,0,正常
Day01-01:24,1,1,24,19.2,70.3,5.3,184.0,11.6,38.8,0,正常
Day01-01:25,1,1,25,19.9,71.2,3.6,216.0,5.1,38.9,0,正常
Day01-01:26,1,1,26,19.6,71.0,7.7,255.0,7.1,38.2,0,正常
Day01-01:27,1,1,27,19.5,70.3,5.9,195.0,15.0,38.5,0,正常
Day01-01:28,1,1,28,19.6,70.2,2.6,264.0,19.7,38.6,0,正常
Day01-01:29,1,1,29,19.9,71.8,6.1,185.0,10.9,38.3,0,正常
Day01-01:30,1,1,30,19.8,70.2,6.7,261.0,21.5,38.7,0,正常
Day01-01:31,1,1,31,19.4,72.1,3.3,266.0,7.9,38.3,0,正常
Day01-01:32,1,1,32,20.1,71.2,5.0,196.0,12.2,38.5,0,正常
Day01-01:33,1,1,33,20.2,70.8,5.5,281.0,5.1,38.8,0,正常
Day01-01:34,1,1,34,19.1,71.0,4.3,228.0,14.6,38.0,0,正常
Day01-01:35,1,1,35,19.8,71.6,6.2,214.0,13.5,38.5,0,正常
Day01-01:36,1,1,36,19.9,70.2,3.6,101.0,12.7,38.2,0,正常
Day01-01:37,1,1,37,20.2,71.1,3.2,181.0,17.7,38.2,0,正常
Day01-01:38,1,1,38,20.0,69.6,5.1,280.0,14.6,38.5,0,正常
Day01-01:39,1,1,39,19.9,71.2,5.7,143.0,11.8,38.1,0,正常
Day01-01:40,1,1,40,20.1,71.8,4.5,217.0,21.6,37.9,0,正常
Day01-01:41,1,1,41,20.4,70.2,4.4,175.0,6.2,38.3,0,正常
Day01-01:42,1,1,42,19.8,70.3,5.1,194.0,21.7,37.8,0,正常
Day01-01:43,1,1,43,20.1,69.7,2.5,273.0,26.0,38.1,0,正常
Day01-01:44,1,1,44,20.2,71.3,5.0,140.0,17.3,38.3,0,正常
Day01-01:45,1,1,45,20.7,68.4,3.3,281.0,12.9,38.3,0,正常
Day01-01:46,1,1,46,19.9,72.0,4.0,169.0,14.3,38.5,0,正常
Day01-01:47,1,1,47,20.1,71.4,5.0,184.0,14.3,38.1,0,正常
Day01-01:48,1,1,48,20.0,70.5,4.9,211.0,17.2,39.1,0,正常
Day01-01:49,1,1,49,19.8,71.2,3.8,164.0,14.0,38.8,0,正常
Day01-01:50,1,1,50,19.8,69.8,6.3,234.0,19.2,38.6,0,正常
Day01-01:51,1,1,51,20.5,73.1,5.2,219.0,4.4,38.4,0,正常
Day01-01:52,1,1,52,19.5,69.9,9.7,119.0,1.9,38.8,0,正常
Day01-01:53,1,1,53,20.0,70.5,3.6,286.0,16.0,38.3,0,正常
Day01-01:54,1,1,54,19.7,69.9,2.7,129.0,21.7,38.0,0,正常
Day01-01:55,1,1,55,19.7,69.9,5.5,200.0,9.3,38.4,0,正常
Day01-01:56,1,1,56,19.4,72.3,4.9,193.0,9.4,38.7,0,正常
Day01-01:57,1,1,57,19.9,69.2,4.6,213.0,24.9,38.8,0,正常
Day01-01:58,1,1,58,20.9,69.3,6.2,193.0,8.2,38.8,0,正常
Day01-01:59,1,1,59,19.8,72.1,5.7,206.0,13.8,38.2,0,正常
Day01-02:00,1,2,0,20.8,70.3,5.3,229.0,10.8,38.5,0,正常
Day01-02:01,1,2,1,20.3,68.3,4.9,241.0,19.7,38.5,0,正常
Day01-02:02,1,2,2,20.1,69.9,5.9,297.0,20.1,38.8,0,正常
Day01-02:03,1,2,3,20.0,69.3,5.4,238.0,17.0,38.3,0,正常
Day01-02:04,1,2,4,20.4,67.8,6.9,290.0,12.7,38.4,0,正常
Day01-02:05,1,2,5,20.5,69.4,3.7,141.0,14.2,38.6,0,正常
Day01-02:06,1,2,6,20.7,70.9,6.5,257.0,17.6,38.7,0,正常
Day01-02:07,1,2,7,20.5,68.5,4.7,176.0,12.5,38.2,0,正常
Day01-02:08,1,2,8,20.5,69.0,6.6,252.0,15.5,38.8,0,正常
Day01-02:09,1,2,9,20.5,69.3,6.8,233.0,16.7,38.8,0,正常
Day01-02:10,1,2,10,20.1,68.2,7.0,272.0,14.0,38.7,0,正常
Day01-02:11,1,2,11,19.8,70.7,5.2,182.0,18.0,39.2,0,正常
Day01-02:12,1,2,12,20.2,69.6,5.7,128.0,10.8,38.6,0,正常
Day01-02:13,1,2,13,20.8,69.1,6.7,226.0,15.1,38.7,0,正常
Day01-02:14,1,2,14,20.5,66.4,6.4,226.0,16.2,38.6,0,正常
Day01-02:15,1,2,15,20.2,68.5,4.2,242.0,17.4,38.8,0,正常
Day01-02:16,1,2,16,20.5,68.1,6.6,190.0,13.3,38.7,0,正常
Day01-02:17,1,2,17,20.3,67.8,5.2,299.0,18.8,38.5,0,正常
Day01-02:18,1,2,18,20.3,68.5,4.5,267.0,13.2,38.5,0,正常
Day01-02:19,1,2,19,20.7,69.5,5.7,287.0,24.4,38.3,0,正常
Day01-02:20,1,2,20,20.7,69.2,4.5,254.0,16.5,38.3,0,正常
Day01-02:21,1,2,21,20.6,68.9,4.2,272.0,17.7,38.4,0,正常
Day01-02:22,1,2,22,20.7,69.6,3.7,174.0,17.6,38.6,0,正常
Day01-02:23,1,2,23,20.1,68.5,7.0,313.0,18.1,38.5,0,正常
Day01-02:24,1,2,24,20.6,68.8,7.5,232.0,10.1,38.5,0,正常
Day01-02:25,1,2,25,21.1,69.5,4.7,293.0,21.5,38.4,0,正常
Day01-02:26,1,2,26,20.8,70.9,5.2,240.0,26.1,38.7,0,正常
Day01-02:27,1,2,27,19.9,68.1,4.2,389.0,8.6,38.9,0,正常
Day01-02:28,1,2,28,20.7,69.7,5.8,199.0,18.9,38.4,0,正常
Day01-02:29,1,2,29,20.5,67.8,4.0,268.0,16.0,38.8,0,正常
Day01-02:30,1,2,30,20.4,67.8,4.6,236.0,8.4,38.0,0,正常
Day01-02:31,1,2,31,20.1,69.8,4.7,246.0,13.3,38.3,0,正常
Day01-02:32,1,2,32,20.7,69.6,4.2,269.0,14.3,38.4,0,正常
Day01-02:33,1,2,33,20.8,68.7,4.5,214.0,22.4,38.6,0,正常
Day01-02:34,1,2,34,20.7,68.7,5.1,283.0,14.3,38.6,0,正常
Day01-02:35,1,2,35,20.8,67.5,5.1,197.0,9.7,38.3,0,正常
Day01-02:36,1,2,36,20.9,69.7,4.0,306.0,23.6,38.6,0,正常
Day01-02:37,1,2,37,20.6,68.6,4.3,307.0,24.2,38.7,0,正常
Day01-02:38,1,2,38,20.3,70.0,3.1,265.0,17.8,38.4,0,正常
Day01-02:39,1,2,39,20.9,69.8,5.6,258.0,12.2,38.6,0,正常
Day01-02:40,1,2,40,20.3,70.9,2.3,253.0,16.8,38.2,0,正常
Day01-02:41,1,2,41,20.8,70.1,4.0,387.0,14.9,38.5,0,正常
Day01-02:42,1,2,42,20.6,69.8,4.7,364.0,15.3,38.3,0,正常
Day01-02:43,1,2,43,20.8,69.7,7.3,280.0,3.4,38.8,0,正常
Day01-02:44,1,2,44,20.6,70.0,5.0,249.0,8.5,38.8,0,正常
Day01-02:45,1,2,45,20.6,68.6,5.2,326.0,12.1,38.6,0,正常
Day01-02:46,1,2,46,20.4,68.7,5.8,286.0,13.9,38.9,0,正常
Day01-02:47,1,2,47,20.6,70.3,5.0,314.0,15.8,38.4,0,正常
Day01-02:48,1,2,48,20.4,67.4,4.4,223.0,15.3,38.9,0,正常
Day01-02:49,1,2,49,20.4,70.4,5.8,289.0,5.8,38.8,0,正常
Day01-02:50,1,2,50,20.9,70.5,5.9,245.0,15.8,38.6,0,正常
Day01-02:51,1,2,51,20.0,68.6,7.8,215.0,14.1,38.4,0,正常
Day01-02:52,1,2,52,20.4,69.4,4.2,241.0,17.9,38.3,0,正常
Day01-02:53,1,2,53,20.9,68.8,6.6,308.0,18.8,38.4,0,正常
Day01-02:54,1,2,54,20.7,68.3,10.0,179.0,14.3,39.1,0,正常
Day01-02:55,1,2,55,21.0,68.2,6.2,244.0,14.4,38.8,0,正常
Day01-02:56,1,2,56,20.5,67.5,5.9,294.0,17.3,37.9,0,正常
Day01-02:57,1,2,57,20.5,70.2,4.8,320.0,11.6,38.5,0,正常
Day01-02:58,1,2,58,20.5,67.8,6.9,281.0,13.2,38.4,0,正常
Day01-02:59,1,2,59,20.2,67.9,4.3,203.0,24.2,38.9,0,正常
Day01-03:00,1,3,0,21.4,67.7,5.8,364.0,13.1,38.6,0,正常
Day01-03:01,1,3,1,21.1,66.0,6.1,345.0,29.1,38.5,0,正常
Day01-03:02,1,3,2,21.5,65.1,3.7,354.0,9.0,38.4,0,正常
Day01-03:03,1,3,3,21.6,68.6,4.7,315.0,15.0,38.3,0,正常
Day01-03:04,1,3,4,21.1,67.9,3.3,372.0,11.1,38.3,0,正常
Day01-03:05,1,3,5,21.0,65.6,7.8,296.0,17.0,38.2,0,正常
Day01-03:06,1,3,6,20.8,67.4,6.0,301.0,9.8,38.4,0,正常
Day01-03:07,1,3,7,21.2,68.7,4.4,363.0,17.5,38.9,0,正常
Day01-03:08,1,3,8,21.0,66.7,3.5,332.0,14.4,38.2,0,正常
Day01-03:09,1,3,9,21.4,68.5,6.8,409.0,18.9,38.6,0,正常
Day01-03:10,1,3,10,21.3,66.8,6.1,329.0,17.5,38.8,0,正常
Day01-03:11,1,3,11,21.2,67.8,3.5,366.0,5.9,38.6,0,正常
Day01-03:12,1,3,12,21.1,67.6,8.1,368.0,12.0,38.7,0,正常
Day01-03:13,1,3,13,21.5,67.2,5.7,280.0,22.1,38.4,0,正常
Day01-03:14,1,3,14,21.1,67.6,5.7,236.0,15.3,38.1,0,正常
Day01-03:15,1,3,15,21.2,68.2,4.2,364.0,19.7,38.7,0,正常
Day01-03:16,1,3,16,21.3,66.5,5.8,256.0,18.0,38.3,0,正常
Day01-03:17,1,3,17,21.1,66.2,3.4,382.0,22.5,38.0,0,正常
Day01-03:18,1,3,18,21.3,66.8,4.8,319.0,12.0,38.7,0,正常
Day01-03:19,1,3,19,21.5,69.0,4.4,427.0,12.1,38.4,0,正常
Day01-03:20,1,3,20,21.5,66.9,5.5,277.0,19.8,38.9,0,正常
Day01-03:21,1,3,21,21.5,66.3,8.2,245.0,19.8,39.2,0,正常
Day01-03:22,1,3,22,21.1,66.1,5.9,230.0,10.3,38.2,0,正常
Day01-03:23,1,3,23,21.3,67.7,5.3,281.0,17.2,38.5,0,正常
Day01-03:24,1,3,24,21.3,67.2,2.3,341.0,11.6,38.6,0,正常
Day01-03:25,1,3,25,21.4,67.0,3.4,367.0,20.9,38.4,0,正常
Day01-03:26,1,3,26,21.2,67.3,6.1,309.0,14.7,39.1,0,正常
Day01-03:27,1,3,27,20.7,67.0,6.2,291.0,12.0,38.7,0,正常
Day01-03:28,1,3,28,21.2,67.8,3.7,269.0,24.0,38.6,0,正常
Day01-03:29,1,3,29,21.5,66.6,5.2,199.0,13.6,38.4,0,正常
Day01-03:30,1,3,30,21.1,66.9,3.5,383.0,11.9,38.5,0,正常
Day01-03:31,1,3,31,21.4,65.9,3.7,365.0,16.1,38.3,0,正常
Day01-03:32,1,3,32,20.8,68.2,5.4,306.0,16.6,38.2,0,正常
Day01-03:33,1,3,33,21.2,69.1,4.5,268.0,14.4,39.0,0,正常
Day01-03:34,1,3,34,21.6,69.6,5.4,324.0,16.9,38.1,0,正常
Day01-03:35,1,3,35,20.9,68.6,4.5,256.0,14.3,38.5,0,正常
Day01-03:36,1,3,36,21.3,68.1,2.2,291.0,20.1,38.6,0,正常
Day01-03:37,1,3,37,21.0,67.4,3.9,293.0,16.4,38.8,0,正常
Day01-03:38,1,3,38,21.1,65.9,4.8,247.0,19.6,38.4,0,正常
Day01-03:39,1,3,39,21.3,66.7,2.9,308.0,17.8,38.3,0,正常
Day01-03:40,1,3,40,21.6,69.4,5.2,256.0,28.3,38.2,0,正常
Day01-03:41,1,3,41,21.5,67.9,2.0,246.0,17.4,38.9,0,正常
Day01-03:42,1,3,42,21.4,67.4,4.3,282.0,8.4,38.4,0,正常
Day01-03:43,1,3,43,21.1,67.3,5.7,411.0,19.8,38.7,0,正常
Day01-03:44,1,3,44,21.2,66.8,4.8,348.0,23.9,39.0,0,正常
Day01-03:45,1,3,45,20.9,66.4,4.0,334.0,17.4,38.7,0,正常
Day01-03:46,1,3,46,21.2,68.7,5.1,344.0,18.9,39.0,0,正常
Day01-03:47,1,3,47,20.9,68.1,5.3,401.0,15.2,38.6,0,正常
Day01-03:48,1,3,48,21.4,69.5,5.6,348.0,20.2,38.8,0,正常
Day01-03:49,1,3,49,21.4,65.4,8.8,284.0,21.5,38.2,0,正常
Day01-03:50,1,3,50,21.5,66.0,5.4,344.0,16.8,38.0,0,正常
Day01-03:51,1,3,51,21.1,67.5,5.6,341.0,6.6,38.2,0,正常
Day01-03:52,1,3,52,20.6,67.2,5.8,296.0,9.7,38.6,0,正常
Day01-03:53,1,3,53,21.5,68.3,4.7,319.0,17.5,38.3,0,正常
Day01-03:54,1,3,54,21.1,67.5,3.4,309.0,17.6,38.4,0,正常
Day01-03:55,1,3,55,21.7,67.7,7.2,367.0,15.6,38.2,0,正常
Day01-03:56,1,3,56,21.4,67.2,6.8,342.0,15.6,38.6,0,正常
Day01-03:57,1,3,57,21.5,66.1,7.0,309.0,15.9,38.5,0,正常
Day01-03:58,1,3,58,21.0,68.3,3.1,286.0,15.3,38.5,0,正常
Day01-03:59,1,3,59,21.1,68.1,4.6,344.0,12.4,38.4,0,正常
Day01-04:00,1,4,0,22.4,62.7,3.4,385.0,8.2,38.2,0,正常
Day01-04:01,1,4,1,21.5,63.9,6.9,376.0,5.2,38.1,0,正常
Day01-04:02,1,4,2,21.3,65.5,4.0,393.0,5.9,39.0,0,正常
Day01-04:03,1,4,3,21.3,63.4,3.6,425.0,10.5,38.5,0,正常
Day01-04:04,1,4,4,22.1,65.9,7.1,465.0,5.1,38.6,0,正常
Day01-04:05,1,4,5,22.3,65.6,6.8,391.0,11.9,38.2,0,正常
Day01-04:06,1,4,6,22.3,65.5,5.6,375.0,16.9,38.3,0,正常
Day01-04:07,1,4,7,22.2,65.1,7.4,312.0,14.1,38.6,0,正常
Day01-04:08,1,4,8,22.2,65.6,6.9,393.0,18.2,38.7,0,正常
Day01-04:09,1,4,9,22.3,65.5,3.2,378.0,22.2,38.6,0,正常
Day01-04:10,1,4,10,21.9,64.9,6.0,421.0,17.5,38.0,0,正常
Day01-04:11,1,4,11,22.1,66.3,5.4,434.0,22.9,38.1,0,正常
Day01-04:12,1,4,12,22.5,63.5,4.1,394.0,16.6,38.3,0,正常
Day01-04:13,1,4,13,22.1,65.2,5.8,385.0,14.5,38.0,0,正常
Day01-04:14,1,4,14,22.0,66.4,4.7,378.0,21.7,38.2,0,正常
Day01-04:15,1,4,15,22.2,65.2,5.4,488.0,7.0,38.5,0,正常
Day01-04:16,1,4,16,22.0,64.7,6.4,413.0,15.3,38.5,0,正常
Day01-04:17,1,4,17,21.9,64.3,2.9,417.0,11.6,39.1,0,正常
Day01-04:18,1,4,18,21.3,65.3,6.0,318.0,18.2,38.3,0,正常
Day01-04:19,1,4,19,22.1,64.4,6.5,381.0,11.0,38.6,0,正常
Day01-04:20,1,4,20,22.0,65.8,7.0,424.0,7.9,38.6,0,正常
Day01-04:21,1,4,21,21.8,64.6,6.0,427.0,10.0,39.0,0,正常
Day01-04:22,1,4,22,21.7,64.8,4.1,333.0,11.5,38.9,0,正常
Day01-04:23,1,4,23,22.0,64.3,4.3,385.0,10.4,38.3,0,正常
Day01-04:24,1,4,24,22.2,65.9,4.6,334.0,16.6,38.5,0,正常
Day01-04:25,1,4,25,22.4,64.1,5.0,377.0,15.5,38.6,0,正常
Day01-04:26,1,4,26,22.0,64.7,6.8,365.0,14.0,38.4,0,正常
Day01-04:27,1,4,27,22.1,65.3,4.6,391.0,14.4,38.1,0,正常
Day01-04:28,1,4,28,21.9,65.5,2.4,437.0,14.3,38.3,0,正常
Day01-04:29,1,4,29,22.2,64.7,3.5,448.0,21.4,38.6,0,正常
Day01-04:30,1,4,30,21.5,65.5,6.9,422.0,15.7,38.4,0,正常
Day01-04:31,1,4,31,21.6,64.4,4.5,450.0,12.4,38.8,0,正常
Day01-04:32,1,4,32,22.2,64.1,4.7,426.0,13.3,38.5,0,正常
Day01-04:33,1,4,33,21.7,66.0,6.1,439.0,13.5,38.1,0,正常
Day01-04:34,1,4,34,22.0,63.2,5.3,435.0,18.0,39.0,0,正常
Day01-04:35,1,4,35,22.0,64.0,4.3,498.0,20.9,38.3,0,正常
Day01-04:36,1,4,36,21.7,62.9,7.0,462.0,18.3,38.6,0,正常
Day01-04:37,1,4,37,22.0,62.8,5.6,401.0,14.3,38.5,0,正常
Day01-04:38,1,4,38,22.0,65.5,5.4,347.0,16.1,38.5,0,正常
Day01-04:39,1,4,39,21.8,65.4,5.3,381.0,24.8,38.3,0,正常
Day01-04:40,1,4,40,21.7,64.3,4.7,422.0,1.6,38.3,0,正常
Day01-04:41,1,4,41,22.6,66.0,6.5,305.0,28.8,38.5,0,正常
Day01-04:42,1,4,42,22.1,66.6,7.9,421.0,19.4,38.8,0,正常
Day01-04:43,1,4,43,22.1,64.6,6.9,313.0,12.0,38.5,0,正常
Day01-04:44,1,4,44,21.8,63.9,4.2,436.0,17.7,38.3,0,正常
Day01-04:45,1,4,45,22.0,65.0,7.0,444.0,18.9,38.2,0,正常
Day01-04:46,1,4,46,22.3,64.9,5.7,389.0,21.0,38.2,0,正常
Day01-04:47,1,4,47,22.5,66.4,7.1,495.0,19.3,38.5,0,正常
Day01-04:48,1,4,48,21.8,66.4,7.8,355.0,16.3,38.6,0,正常
Day01-04:49,1,4,49,21.6,66.1,3.4,322.0,14.8,38.4,0,正常
Day01-04:50,1,4,50,21.9,63.3,5.2,395.0,18.2,38.5,0,正常
Day01-04:51,1,4,51,21.4,65.2,6.4,393.0,14.4,38.5,0,正常
Day01-04:52,1,4,52,22.1,64.3,4.7,399.0,14.3,38.6,0,正常
Day01-04:53,1,4,53,22.1,65.1,5.3,510.0,13.3,38.7,0,正常
Day01-04:54,1,4,54,21.9,65.6,6.2,428.0,14.0,38.2,0,正常
Day01-04:55,1,4,55,21.8,63.9,4.3,387.0,11.6,38.5,0,正常
Day01-04:56,1,4,56,21.9,64.8,5.7,391.0,20.2,38.2,0,正常
Day01-04:57,1,4,57,22.0,64.4,3.6,295.0,16.7,38.5,0,正常
Day01-04:58,1,4,58,22.3,63.6,3.5,425.0,18.3,38.5,0,正常
Day01-04:59,1,4,59,21.4,63.9,3.9,393.0,16.8,38.6,0,正常
Day01-05:00,1,5,0,22.9,61.4,5.5,581.0,21.0,38.6,0,正常
Day01-05:01,1,5,1,23.4,63.2,3.5,505.0,12.5,38.3,0,正常
Day01-05:02,1,5,2,22.7,62.0,6.1,492.0,15.6,38.6,0,正常
Day01-05:03,1,5,3,22.4,62.0,1.6,569.0,10.0,38.5,0,正常
Day01-05:04,1,5,4,22.6,63.6,3.4,463.0,18.4,38.4,0,正常
Day01-05:05,1,5,5,22.8,62.7,7.3,536.0,15.1,38.3,0,正常
Day01-05:06,1,5,6,22.5,61.7,7.4,532.0,23.0,38.7,0,正常
Day01-05:07,1,5,7,22.9,61.9,5.8,502.0,24.7,38.5,0,正常
Day01-05:08,1,5,8,22.9,63.9,3.4,491.0,12.1,38.9,0,正常
Day01-05:09,1,5,9,22.7,61.4,8.3,449.0,17.1,38.7,0,正常
Day01-05:10,1,5,10,22.5,62.6,5.4,490.0,18.8,38.2,0,正常
Day01-05:11,1,5,11,23.5,62.4,8.0,552.0,13.0,38.3,0,正常
Day01-05:12,1,5,12,22.7,63.8,5.0,498.0,16.2,38.2,0,正常
Day01-05:13,1,5,13,22.8,63.7,6.0,497.0,15.7,38.6,0,正常
Day01-05:14,1,5,14,22.6,63.9,6.7,414.0,13.6,39.1,0,正常
Day01-05:15,1,5,15,23.2,62.4,7.3,462.0,18.7,38.6,0,正常
Day01-05:16,1,5,16,22.6,62.7,3.9,442.0,19.7,38.7,0,正常
Day01-05:17,1,5,17,22.7,62.8,7.3,521.0,18.0,38.5,0,正常
Day01-05:18,1,5,18,22.7,63.0,6.6,491.0,9.6,38.7,0,正常
Day01-05:19,1,5,19,22.9,62.6,7.2,514.0,15.8,38.7,0,正常
Day01-05:20,1,5,20,23.4,62.5,8.4,503.0,19.5,39.0,0,正常
Day01-05:21,1,5,21,22.6,63.8,5.4,469.0,19.3,38.5,0,正常
Day01-05:22,1,5,22,23.0,61.2,8.9,454.0,17.3,38.2,0,正常
